county,public_level_1,shared_private_level_1,public_level_2,shared_private_level_2,public_dc_fast,shared_private_dc_fast,total,year,quarter
Santa Clara,3,75,3548,11927,631,43,16227,2022,Q3
Santa Cruz,1,0,193,77,74,0,345,2022,Q3
Shasta,0,0,55,48,31,4,138,2022,Q3
Sierra,0,0,1,0,0,0,1,2022,Q3
Siskiyou,0,1,24,0,42,0,67,2022,Q3
Solano,5,0,213,148,107,0,473,2022,Q3
Sonoma,0,0,450,208,117,19,794,2022,Q3
Stanislaus,0,1,70,40,59,1,171,2022,Q3
Sutter,0,0,5,5,16,1,27,2022,Q3
Tehama,0,0,12,46,32,1,91,2022,Q3
Trinity,0,0,4,0,10,0,14,2022,Q3
Tulare,0,3,59,64,63,23,212,2022,Q3
Tuolumne,0,0,34,12,14,0,60,2022,Q3
Ventura,4,0,344,312,144,6,810,2022,Q3
Yolo,12,0,208,124,50,4,398,2022,Q3
Yuba,0,0,20,39,0,0,59,2022,Q3
Unknown,0,0,0,1858,0,10,1868,2022,Q3
Total,171,374,28573,46348,7926,602,83994,2022,Q3
Alameda,0,70,1724,2104,366,34,5139,2022,Q2
Alpine,0,0,16,0,0,0,16,2022,Q2
Amador,0,0,25,0,8,0,33,2022,Q2
Butte,6,0,66,46,27,1,158,2022,Q2
Calaveras,0,2,9,0,12,0,23,2022,Q2
Colusa,0,0,18,0,18,0,36,2022,Q2
Contra Costa,2,2,575,445,245,1,1699,2022,Q2
Del Norte,0,0,12,1,17,2,32,2022,Q2
El Dorado,1,0,144,0,48,0,193,2022,Q2
Fresno,8,1,577,381,225,9,1321,2022,Q2
Glenn,0,0,4,0,10,0,14,2022,Q2
Humboldt,0,0,116,10,22,0,148,2022,Q2
Imperial,0,0,12,11,20,0,43,2022,Q2
Inyo,0,0,8,5,35,1,49,2022,Q2
Kern,4,1,171,229,190,1,629,2022,Q2
Kings,0,0,51,16,101,0,168,2022,Q2
Lake,0,0,15,0,0,0,15,2022,Q2
Lassen,0,1,7,0,8,0,16,2022,Q2
Los Angeles,31,120,7651,15360,1244,181,24615,2022,Q2
Madera,0,1,51,5,93,2,152,2022,Q2
Marin,1,0,490,308,83,0,1052,2022,Q2
Mariposa,0,0,35,0,10,0,45,2022,Q2
Mendocino,0,0,118,7,37,0,162,2022,Q2
Merced,10,2,40,19,48,3,134,2022,Q2
Modoc,0,0,4,0,8,0,12,2022,Q2
Mono,0,0,20,5,12,0,37,2022,Q2
Monterey,1,0,217,44,136,2,400,2022,Q2
Napa,0,0,321,17,46,0,403,2022,Q2
Nevada,0,1,63,43,45,0,152,2022,Q2
Orange,1,0,2777,1787,600,24,5189,2022,Q2
Placer,0,1,225,56,128,2,448,2022,Q2
Plumas,0,0,8,0,0,0,8,2022,Q2
Riverside,0,1,969,113,401,9,1493,2022,Q2
Sacramento,69,18,909,534,259,18,1839,2022,Q2
San Benito,0,0,12,10,25,0,47,2022,Q2
San Bernardino,3,11,662,437,419,28,1560,2022,Q2
San Diego,2,17,2286,4259,480,30,7074,2022,Q2
San Francisco,12,6,652,677,113,29,1575,2022,Q2
San Joaquin,0,0,190,207,116,9,596,2022,Q2
San Luis Obispo,0,1,353,81,128,0,640,2022,Q2
San Mateo,3,36,2141,1921,304,17,4799,2022,Q2
Santa Barbara,3,2,311,101,97,1,515,2022,Q2
Santa Clara,3,75,3883,11344,614,40,16981,2022,Q2
